iter	Passed	Remaining
748	3046	1020
749	3049	1016
750	3052	1012
751	3056	1007
752	3059	1003
753	3062	999
754	3067	995
755	3070	990
756	3073	986
757	3076	982
758	3080	978
759	3083	973
760	3087	969
761	3090	965
762	3093	960
763	3098	957
764	3102	952
765	3106	948
766	3114	946
767	3118	942
768	3123	938
769	3127	934
770	3132	930
771	3138	926
772	3142	922
773	3148	919
774	3152	915
775	3162	913
776	3168	909
777	3173	905
778	3179	902
779	3184	898
780	3187	893
781	3191	889
782	3196	885
783	3202	882
784	3207	878
785	3211	874
786	3218	871
787	3223	867
788	3227	863
789	3234	859
790	3241	856
791	3249	853
792	3263	851
793	3268	847
794	3276	844
795	3281	840
796	3288	837
797	3295	834
798	3300	830
799	3306	826
800	3311	822
801	3321	819
802	3330	817
803	3338	813
804	3343	809
805	3348	806
806	3355	802
807	3360	798
808	3364	794
809	3369	790
810	3378	787
811	3383	783
812	3387	779
813	3391	774
814	3395	770
815	3401	767
816	3409	763
817	3414	759
818	3419	755
819	3423	751
820	3429	747
821	3433	743
822	3437	739
823	3441	735
824	3447	731
825	3452	727
826	3456	723
827	3465	719
828	3468	715
829	3472	711
830	3478	707
831	3482	703
832	3489	699
833	3494	695
834	3498	691
835	3503	687
836	3509	683
837	3513	679
838	3520	675
839	3525	671
840	3529	667
841	3536	663
842	3543	659
843	3548	655
844	3556	652
845	3563	648
846	3570	645
847	3576	641
848	3583	637
849	3589	633
850	3593	629
851	3597	624
852	3601	620
853	3606	616
854	3610	612
855	3614	607
856	3617	603
857	3623	599
858	3627	595
859	3632	591
860	3635	586
861	3642	583
862	3647	579
863	3654	575
864	3661	571
865	3670	567
866	3674	563
867	3680	559
868	3686	555
869	3690	551
870	3694	547
871	3699	543
872	3703	538
873	3707	534
874	3710	530
875	3716	526
876	3719	521
877	3723	517
878	3727	513
879	3731	508
880	3734	504
881	3737	500
882	3741	495
883	3746	491
884	3750	487
885	3756	483
886	3761	479
887	3770	475
888	3776	471
889	3786	468
890	3792	464
891	3797	459
892	3801	455
893	3807	451
894	3812	447
895	3817	443
896	3820	438
897	3825	434
898	3830	430
899	3834	426
900	3839	421
901	3846	417
902	3852	413
903	3857	409
904	3860	405
905	3865	401
906	3869	396
907	3878	392
908	3883	388
909	3890	384
910	3894	380
911	3898	376
912	3902	371
913	3907	367
914	3910	363
915	3914	358
916	3919	354
917	3924	350
918	3931	346
919	3939	342
920	3944	338
921	3950	334
922	3958	330
923	3962	325
924	3966	321
925	3969	317
926	3972	312
927	3977	308
928	3980	304
929	3984	299
930	3987	295
931	3991	291
932	3994	286
933	3997	282
934	4001	278
935	4004	273
936	4007	269
937	4011	265
938	4014	260
939	4017	256
940	4021	252
941	4024	247
942	4027	243
943	4030	239
944	4034	234
945	4037	230
946	4041	226
947	4044	221
948	4048	217
949	4051	213
950	4055	208
951	4057	204
952	4061	200
953	4064	195
954	4067	191
955	4071	187
956	4075	183
957	4079	178
958	4083	174
959	4087	170
960	4091	166
961	4095	161
962	4098	157
963	4101	153
964	4104	148
965	4109	144
966	4112	140
967	4115	136
968	4118	131
969	4122	127
970	4126	123
971	4129	118
972	4132	114
973	4135	110
974	4139	106
975	4142	101
976	4145	97
977	4148	93
978	4151	89
979	4155	84
980	4158	80
981	4161	76
982	4164	72
983	4167	67
984	4171	63
985	4174	59
986	4177	55
987	4180	50
988	4184	46
989	4187	42
990	4190	38
991	4193	33
992	4196	29
993	4199	25
994	4202	21
995	4206	16
996	4210	12
997	4213	8
998	4217	4
999	4220	0
